"partid","task_ord","cond","task_ind","task","session","time","gamble_ind","gamble_lab","box","opt","outcome","rt","nopt","H","R"
400159701,"dfd_dfe","decr",1,"dfd","a7019915c77abcec38a60928a1e5af3e",1411999859,1,"soep4_4",2,"a",0,30007,4,1,1
400159701,"dfd_dfe","decr",1,"dfd","a7019915c77abcec38a60928a1e5af3e",1411999885,2,"soep3_4",2,"c",3,21716,4,0,0
400159701,"dfd_dfe","decr",1,"dfd","a7019915c77abcec38a60928a1e5af3e",1411999900,3,"soep2_2",2,"b",3,11179,2,0,0
400159701,"dfd_dfe","decr",1,"dfd","a7019915c77abcec38a60928a1e5af3e",1411999909,4,"soep1_2",2,"a",0,6955,2,1,1
400159701,"dfd_dfe","decr",2,"dfe","a7019915c77abcec38a60928a1e5af3e",1412000008,1,"soep4_4",2,"c",3,4797,4,0,0
400159701,"dfd_dfe","decr",2,"dfe","a7019915c77abcec38a60928a1e5af3e",1412000028,2,"soep3_4",4,"a",0,1081,4,1,1
400159701,"dfd_dfe","decr",2,"dfe","a7019915c77abcec38a60928a1e5af3e",1412000047,3,"soep2_2",1,"a",0,1519,2,1,1
400159701,"dfd_dfe","decr",2,"dfe","a7019915c77abcec38a60928a1e5af3e",1412000068,4,"soep1_2",2,"a",0,1244,2,1,1
400167801,"dfd_dfe","decr",1,"dfd","28efc0391af2965097e185cfc7484d9e",1416256184,1,"soep4_4",4,"a",34,50677,4,1,1
400167801,"dfd_dfe","decr",1,"dfd","28efc0391af2965097e185cfc7484d9e",1416256196,2,"soep3_4",3,"b",0,7396,4,0,1
400167801,"dfd_dfe","decr",1,"dfd","28efc0391af2965097e185cfc7484d9e",1416256202,3,"soep2_2",2,"a",0,4111,2,1,1
400167801,"dfd_dfe","decr",1,"dfd","28efc0391af2965097e185cfc7484d9e",1416256206,4,"soep1_2",1,"a",32,1812,2,1,1
400167801,"dfd_dfe","decr",2,"dfe","28efc0391af2965097e185cfc7484d9e",1416256292,1,"soep4_4",3,"c",3,4425,4,0,0
400167801,"dfd_dfe","decr",2,"dfe","28efc0391af2965097e185cfc7484d9e",1416256304,2,"soep3_4",4,"d",4,1951,4,0,1
400167801,"dfd_dfe","decr",2,"dfe","28efc0391af2965097e185cfc7484d9e",1416256316,3,"soep2_2",2,"a",4,3064,2,1,1
400167801,"dfd_dfe","decr",2,"dfe","28efc0391af2965097e185cfc7484d9e",1416256322,4,"soep1_2",2,"b",3,1091,2,0,0
400170801,"dfd_dfe","decr",1,"dfd","b145f38527932e69f056ae99e60ae6d5",1412428152,1,"soep4_4",1,"a",0,14259,4,1,1
400170801,"dfd_dfe","decr",1,"dfd","b145f38527932e69f056ae99e60ae6d5",1412428195,2,"soep3_4",2,"c",3,36218,4,0,0
400170801,"dfd_dfe","decr",1,"dfd","b145f38527932e69f056ae99e60ae6d5",1412428216,3,"soep2_2",1,"b",3,18043,2,0,0
400170801,"dfd_dfe","decr",1,"dfd","b145f38527932e69f056ae99e60ae6d5",1412428239,4,"soep1_2",1,"b",3,19937,2,0,0
400170801,"dfd_dfe","decr",2,"dfe","b145f38527932e69f056ae99e60ae6d5",1412428331,1,"soep4_4",3,"b",4,1548,4,0,1
400170801,"dfd_dfe","decr",2,"dfe","b145f38527932e69f056ae99e60ae6d5",1412428356,2,"soep3_4",3,"a",0,7858,4,1,1
400170801,"dfd_dfe","decr",2,"dfe","b145f38527932e69f056ae99e60ae6d5",1412428383,3,"soep2_2",2,"a",4,1850,2,1,1
400170801,"dfd_dfe","decr",2,"dfe","b145f38527932e69f056ae99e60ae6d5",1412428402,4,"soep1_2",1,"a",32,1500,2,1,1
400173201,"dfd_dfe","incr",1,"dfd","54df9393c425f5fe680b7f97bcb8d416",1412179371,1,"soep1_2",2,"a",32,26040,2,1,1
400173201,"dfd_dfe","incr",1,"dfd","54df9393c425f5fe680b7f97bcb8d416",1412179381,2,"soep2_2",2,"b",3,6458,2,0,0
400173201,"dfd_dfe","incr",1,"dfd","54df9393c425f5fe680b7f97bcb8d416",1412179406,3,"soep3_4",3,"b",0,20429,4,0,1
400173201,"dfd_dfe","incr",1,"dfd","54df9393c425f5fe680b7f97bcb8d416",1412179419,4,"soep4_4",3,"a",0,9709,4,1,1
400173201,"dfd_dfe","incr",2,"dfe","54df9393c425f5fe680b7f97bcb8d416",1412179563,1,"soep1_2",2,"b",3,1801,2,0,0
400173201,"dfd_dfe","incr",2,"dfe","54df9393c425f5fe680b7f97bcb8d416",1412179584,2,"soep2_2",1,"a",4,1428,2,1,1
400173201,"dfd_dfe","incr",2,"dfe","54df9393c425f5fe680b7f97bcb8d416",1412179623,3,"soep3_4",4,"d",4,1023,4,0,1
