"mean","HDIl","HDIu","r2_med","r2_sd","timestamp","dv","sex","age","fluid","cryst","hhinc","incomenet","eduyears","social","sports","empl","effect","model","do_sim","j_sim","SOEPgen","SOEPdri","SOEPinv","SOEPrec","SOEPocc","SOEPhea","SOEPsoc","S.dfe2","S.dfe4","R.dfe2","R.dfe4","R.dfd2","R.dfd4","REM","REMsr","REMbeh","sim_median","sim_min","sim_max"
0.00395094478793427,-0.0338577227730353,0.042770999333614,0.0971405494904581,0.00856116563010884,1520084585.54341,"REM","no","no","yes","no","no","yes","no","no","no","no","incomenet",78,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA
-0.0375543057977478,-0.0811247665707052,0.00678131388716107,0.0839912850481458,0.0151167495606112,1520084533.63517,"REMbeh","no","no","yes","no","no","yes","no","no","no","no","incomenet",79,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
0.0390790598775625,-0.0182356746435385,0.0955812787449458,0.295588925233756,0.0137224283509828,1520084538.42009,"REMsr","no","no","yes","no","no","yes","no","no","no","no","incomenet",80,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
-0.0389153992488937,-0.134065757365506,0.0541394362324508,0.0267264055253847,0.0143059271164409,1520084497.49358,"SOEPgen","yes","no","yes","no","no","yes","no","no","no","no","incomenet",81,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
0.0461331700449108,-0.0504141591319597,0.140508832988856,0.0633171740811774,0.0223566548624491,1520084497.9953,"SOEPdri","yes","no","yes","no","no","yes","no","no","no","no","incomenet",82,FALSE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
0.0428202602089086,-0.0550838150520364,0.138364987820468,0.0445507422855504,0.0190317465693497,1520084497.90542,"SOEPinv","yes","no","yes","no","no","yes","no","no","no","no","incomenet",83,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
-0.127661759246721,-0.214544692192308,-0.0375896446210541,0.0657821126083474,0.0207827894077192,1520084497.8739,"SOEPrec","yes","no","yes","no","no","yes","no","no","no","no","incomenet",84,FALSE,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
-0.00448051218495511,-0.0996317896681623,0.0868098977238233,0.0235276264154025,0.0135527448773509,1520084499.00458,"SOEPocc","yes","no","yes","no","no","yes","no","no","no","no","incomenet",85,FALSE,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
0.0253984331446627,-0.070727495573831,0.122812275685337,0.0132696249765776,0.0101853450970254,1520084501.19872,"SOEPhea","yes","no","yes","no","no","yes","no","no","no","no","incomenet",86,FALSE,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
0.0675332751727212,-0.0288277817560724,0.165131860009149,0.0195306117910482,0.0121233196358333,1520084501.61453,"SOEPsoc","yes","no","yes","no","no","yes","no","no","no","no","incomenet",87,FALSE,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
-0.0726990654039785,-0.18051604912572,0.0381993291146855,0.0180770491084275,0.0116112573642402,1520084501.99863,"S.dfe2","yes","no","yes","no","no","yes","no","no","no","no","incomenet",88,FALSE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA
0.0115439002358335,-0.0883634599583838,0.110293634145937,0.054253722061259,0.0191355564827545,1520084502.23982,"S.dfe4","yes","no","yes","no","no","yes","no","no","no","no","incomenet",89,FALSE,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA
-0.0627085028841287,-0.160218254395814,0.0339501582580316,0.00855516492290607,0.00784344213577137,1520084502.69852,"R.dfe2","yes","no","yes","no","no","yes","no","no","no","no","incomenet",90,FALSE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA
-0.0508391417164456,-0.147354949438099,0.0462030878591191,0.00801872884722481,0.00751252187308796,1520084502.96632,"R.dfe4","yes","no","yes","no","no","yes","no","no","no","no","incomenet",91,FALSE,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA
-0.0558398615833483,-0.151744792293042,0.0424311958150153,0.0115922280513321,0.0091602789210984,1520084503.38889,"R.dfd2","yes","no","yes","no","no","yes","no","no","no","no","incomenet",92,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA
